Altium Designer Pick and Place Locations
C:\Users\ahmed\Work\KLOR\PCB\Altuim\Project Outputs for klor1_4\Pick Place\Pick Place for klor1_4.csv

========================================================================================================================
File Design Information:

Date:       11/05/26
Time:       16:09
Revision:   43ca77032ed8828815a21d35339230112d09b4ba
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"SW6","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-2563.506","1899.878","180",""
"SW7","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-3312.049","2016.207","180",""
"SW1","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-2563.583","2651.575","180",""
"SW2","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-3311.614","2768.898","180",""
"SW8","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-4060.685","2374.202","180",""
"SW3","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-4061.220","3122.441","180",""
"SW4","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-4929.927","2714.371","184",""
"SW9","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-4875.793","1964.764","184",""
"SW15","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-4826.187","1215.552","184",""
"SW5","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-5804.072","2141.826","190",""
"SW10","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-5673.247","1405.702","190",""
"SW16","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-5543.835","663.086","190",""
"SW11","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-6444.229","1469.385","190",""
"SW17","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-6315.095","729.228","190",""
"BT1","JST Connector","TopLayer","JST_PH_2PINS","-1064.173","1234.252","90","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"JP26","Device_Jumper_NO_Small","TopLayer","SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","-1657.480","-551.181","60",""
"PSW1","SW_DPDT_x2","BottomLayer","MSK12C02_REVERSIBLE","-1095.718","2799.164","180","Slide Switches SPDT switch length: 8mm, switch width: 2.8mm"
"D23","D_Small","TopLayer","DIODE_SOD123","1334.646","2814.961","180","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED35","SK6812MINI-E","TopLayer","SK6812MINI-E","2234.252","920.275","0","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"SW44","RotaryEncoder_Switch","BottomLayer","ROTARYENCODER_ALPS_EC11E-SWITCH_VERTICAL_H20MM-KEEBIO_MODIFIED","473.228","834.646","0","Mechanical Encoder Rotary Incremental Flat 0.01N.m Straight Quadrature Digital Square Wave 15PPR Through Hole PC Pin..."
"J4","MJ-4PP-9","BottomLayer","MJ-4PP-9","154.724","245.079","270","-20?~+70? 3.5mm Headphone Jack 235? 30V 500mA Plugin Audio Connectors (Headphones) ROHS"
"BT3","JST Connector","TopLayer","JST_PH_2PINS","-38.189","1234.252","270","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"RSW1","SW_Push","BottomLayer","SW_PUSH_1P1T-MP_NO_HORIZONTAL_ALPS_SKRTLAE010_BOTH_SIDES","-1059.646","570.472","270","Tactile Switch, SKRT, Side Actuated, Surface Mount, Round Button, 160 gf, 50mA at 12VDC"
"RSW2","SW_Push","BottomLayer","SW_PUSH_1P1T-MP_NO_HORIZONTAL_ALPS_SKRTLAE010_BOTH_SIDES","-42.717","570.472","90","Tactile Switch, SKRT, Side Actuated, Surface Mount, Round Button, 160 gf, 50mA at 12VDC"
"PSW2","SW_DPDT_x2","BottomLayer","MSK12C02_REVERSIBLE","-8.613","2809.007","0","Slide Switches SPDT switch length: 8mm, switch width: 2.8mm"
"D44","D_Small","TopLayer","DIODE_SOD123","822.835","637.795","180","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"J5","lv2","BottomLayer","lvc27_onlyInput","2350.394","592.520","90",""
"J3","lv27","BottomLayer","lvc27_onlyInput","-3453.149","592.520","90",""
"J6","lv2","TopLayer","PIMORONI_HAPTIC_BUZZ_DRV2605L_DRIVER","4593.701","3154.094","0",""
"TP1","tenting-puck","TopLayer","SplitkbTentingPuckWithoutCenterHole","-3711.614","1815.157","270",""
"TP2","tenting-puck","BottomLayer","SplitkbTentingPuckWithoutCenterHole","2609.252","1815.157","270",""
"D41","D_Small","TopLayer","DIODE_SOD123","456.693","11.811","210","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D40","D_Small","TopLayer","DIODE_SOD123","-251.969","-578.740","225","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D35","D_Small","TopLayer","DIODE_SOD123","1917.323","1208.661","90","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D28","D_Small","TopLayer","DIODE_SOD123","1173.228","2015.748","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D43","D_Small","TopLayer","DIODE_SOD123","2003.937","523.622","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D34","D_Small","TopLayer","DIODE_SOD123","1149.606","1267.716","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D25","D_Small","TopLayer","DIODE_SOD123","2720.472","2775.591","90","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D24","D_Small","TopLayer","DIODE_SOD123","1909.449","2751.968","90","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D29","D_Small","TopLayer","DIODE_SOD123","1893.701","2133.858","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED40","SK6812MINI-E","TopLayer","SK6812MINI-E","221.748","-839.307","45","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED41","SK6812MINI-E","TopLayer","SK6812MINI-E","843.712","-356.895","30","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED42","SK6812MINI-E","TopLayer","SK6812MINI-E","1570.576","-53.790","15","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D42","D_Small","TopLayer","DIODE_SOD123","1110.236","311.024","285","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED43","SK6812MINI-E","TopLayer","SK6812MINI-E","2349.727","52.250","0","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED39","SK6812MINI-E","TopLayer","SK6812MINI-E","5176.220","381.406","350","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D39","D_Small","TopLayer","DIODE_SOD123","5114.173","925.197","170","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED33","SK6812MINI-E","TopLayer","SK6812MINI-E","5305.354","1121.564","350","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D33","D_Small","TopLayer","DIODE_SOD123","5240.158","1661.417","170","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED38","SK6812MINI-E","TopLayer","SK6812MINI-E","4404.960","315.265","350","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D38","D_Small","TopLayer","DIODE_SOD123","4153.543","696.850","80","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED32","SK6812MINI-E","TopLayer","SK6812MINI-E","4534.372","1057.881","350","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D32","D_Small","TopLayer","DIODE_SOD123","4287.402","1574.803","260","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED27","SK6812MINI-E","TopLayer","SK6812MINI-E","4665.196","1794.005","350","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D27","D_Small","TopLayer","DIODE_SOD123","4397.638","2090.551","80","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D37","D_Small","TopLayer","DIODE_SOD123","3405.512","1098.425","86","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED37","SK6812MINI-E","TopLayer","SK6812MINI-E","3724.042","865.787","356","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D31","D_Small","TopLayer","DIODE_SOD123","3464.567","2110.236","266","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED31","SK6812MINI-E","TopLayer","SK6812MINI-E","3773.648","1615.000","356","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D26","D_Small","TopLayer","DIODE_SOD123","3503.937","2724.409","86","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED26","SK6812MINI-E","TopLayer","SK6812MINI-E","3827.191","2362.244","356","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D36","D_Small","TopLayer","DIODE_SOD123","2645.669","1740.158","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED36","SK6812MINI-E","TopLayer","SK6812MINI-E","2983.050","1273.594","0","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D30","D_Small","TopLayer","DIODE_SOD123","2649.606","2492.126","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED30","SK6812MINI-E","TopLayer","SK6812MINI-E","2983.050","2024.484","0","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED25","SK6812MINI-E","TopLayer","SK6812MINI-E","2983.586","2772.723","0","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED24","SK6812MINI-E","TopLayer","SK6812MINI-E","2233.979","2419.179","0","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED29","SK6812MINI-E","TopLayer","SK6812MINI-E","2233.586","1667.998","0","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED34","SK6812MINI-E","TopLayer","SK6812MINI-E","1484.373","799.101","0","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED28","SK6812MINI-E","TopLayer","SK6812MINI-E","1485.043","1551.670","0","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED23","SK6812MINI-E","TopLayer","SK6812MINI-E","1485.948","2301.856","0","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"MH17","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","3867.717","499.213","180",""
"MH10","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","0.000","3127.165","180",""
"BZ2","Buzzer","BottomLayer","BUZZER_MALLORY_AST1109MLTRQ_REVERSIBLE","3014.764","742.520","180","70dB Passive (external drive) Piezoelectric SMD, 9x11mm Buzzers ROHS"
"MH18","MountingHole_2.2mm_M2","BottomLayer","MountingHole_2.2mm_M2","4327.953","2389.764","180",""
"OLED2","SSD1306","BottomLayer","SSD1306_128X64OLED","511.776","1444.685","0",""
"MH13","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","4160.236","3087.401","180",""
"MH12","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","3575.984","3127.165","180",""
"MH16","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","3410.630","529.134","180",""
"MH14","MountingHole_3.2mm_M3","TopLayer","MOUNTINGHOLE_3.2MM_M3","3306.299","1854.331","0",""
"BT4","Battery_Cell","TopLayer","custombatteryconnector_small","-28.543","864.174","270",""
"MH11","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","2444.094","3127.165","180",""
"U2","ProMicro","TopLayer","PROMICRO","514.961","2533.071","0",""
"JP29","Device_Jumper_NO_Small","TopLayer","SOLDERJUMPER-2_P1.3MM_OPEN_TRIANGLEPAD1.0X1.5MM","555.118","-559.055","300",""
"MH15","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","0.000","0.000","0",""
"D21","D_Small","TopLayer","DIODE_SOD123","-2874.016","480.315","255","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED19","SK6812MINI-E","TopLayer","SK6812MINI-E","-1324.110","-839.307","135","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D19","D_Small","TopLayer","DIODE_SOD123","-1232.284","-275.591","225","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D20","D_Small","TopLayer","DIODE_SOD123","-2003.937","212.598","240","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED20","SK6812MINI-E","TopLayer","SK6812MINI-E","-1946.074","-356.894","150","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED21","SK6812MINI-E","TopLayer","SK6812MINI-E","-2672.504","-54.187","165","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D17","D_Small","TopLayer","DIODE_SOD123","-6665.354","649.606","100","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED17","SK6812MINI-E","TopLayer","SK6812MINI-E","-6278.582","381.407","190","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D11","D_Small","TopLayer","DIODE_SOD123","-6822.457","1525.525","280","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED11","SK6812MINI-E","TopLayer","SK6812MINI-E","-6407.716","1121.564","190","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D16","D_Small","TopLayer","DIODE_SOD123","-5751.968","795.276","190","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED16","SK6812MINI-E","TopLayer","SK6812MINI-E","-5507.323","315.265","190","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D10","D_Small","TopLayer","DIODE_SOD123","-6031.496","1385.827","280","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED10","SK6812MINI-E","TopLayer","SK6812MINI-E","-5636.734","1057.881","190","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED5","SK6812MINI-E","TopLayer","SK6812MINI-E","-5767.559","1794.005","190","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D5","D_Small","TopLayer","DIODE_SOD123","-6185.039","2192.913","280","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"D15","D_Small","TopLayer","DIODE_SOD123","-5192.913","1307.087","274","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED15","SK6812MINI-E","TopLayer","SK6812MINI-E","-4826.404","865.787","184","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D9","D_Small","TopLayer","DIODE_SOD123","-5244.095","2055.118","274","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED9","SK6812MINI-E","TopLayer","SK6812MINI-E","-4876.010","1615.000","184","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D4","D_Small","TopLayer","DIODE_SOD123","-5318.898","2803.150","274","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED4","SK6812MINI-E","TopLayer","SK6812MINI-E","-4929.553","2362.244","4","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D22","D_Small","TopLayer","DIODE_SOD123","-3771.653","523.622","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED22","SK6812MINI-E","TopLayer","SK6812MINI-E","-3451.044","52.756","180","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D14","D_Small","TopLayer","DIODE_SOD123","-4169.291","1807.087","180","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED14","SK6812MINI-E","TopLayer","SK6812MINI-E","-4085.412","1273.594","180","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D8","D_Small","TopLayer","DIODE_SOD123","-4421.260","2488.189","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED8","SK6812MINI-E","TopLayer","SK6812MINI-E","-4085.412","2024.484","180","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D3","D_Small","TopLayer","DIODE_SOD123","-4425.197","3153.543","90","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED3","SK6812MINI-E","TopLayer","SK6812MINI-E","-4085.948","2772.723","180","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D2","D_Small","TopLayer","DIODE_SOD123","-3661.417","2755.905","90","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED2","SK6812MINI-E","TopLayer","SK6812MINI-E","-3336.341","2419.179","180","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D7","D_Small","TopLayer","DIODE_SOD123","-3496.063","2188.976","180","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED7","SK6812MINI-E","TopLayer","SK6812MINI-E","-3335.948","1667.998","180","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D13","D_Small","TopLayer","DIODE_SOD123","-3673.228","1381.890","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED13","SK6812MINI-E","TopLayer","SK6812MINI-E","-3335.412","919.264","180","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D12","D_Small","TopLayer","DIODE_SOD123","-2913.386","1232.284","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED12","SK6812MINI-E","TopLayer","SK6812MINI-E","-2586.735","799.101","180","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"D6","D_Small","TopLayer","DIODE_SOD123","-2921.260","2015.748","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"LED6","SK6812MINI-E","TopLayer","SK6812MINI-E","-2587.406","1551.670","180","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"LED1","SK6812MINI-E","TopLayer","SK6812MINI-E","-2587.482","2303.366","180","Conn Shrouded Header (4 Sides) HDR 2 POS 2mm Solder RA Side Entry Thru-Hole Box"
"MH8","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","-4970.079","499.213","180",""
"MH1","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","-1102.362","3127.165","180",""
"BZ1","Buzzer","BottomLayer","BUZZER_MALLORY_AST1109MLTRQ_REVERSIBLE","-4117.126","742.520","180","70dB Passive (external drive) Piezoelectric SMD, 9x11mm Buzzers ROHS"
"MH9","MountingHole_2.2mm_M2","BottomLayer","MountingHole_2.2mm_M2","-5430.315","2389.764","180",""
"SW18","RotaryEncoder_Switch","BottomLayer","ROTARYENCODER_ALPS_EC11E-SWITCH_VERTICAL_H20MM-KEEBIO_MODIFIED","-1575.591","834.646","180","Mechanical Encoder Rotary Incremental Flat 0.01N.m Straight Quadrature Digital Square Wave 15PPR Through Hole PC Pin..."
"OLED1","SSD1306","BottomLayer","SSD1306_128X64OLED","-1620.831","1444.685","0",""
"J1","MJ-4PP-9","BottomLayer","MJ-4PP-9","-1257.087","298.228","90","-20?~+70? 3.5mm Headphone Jack 235? 30V 500mA Plugin Audio Connectors (Headphones) ROHS"
"MH6","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","-1102.362","0.000","180",""
"MH4","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","-5262.598","3087.401","180",""
"MH3","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","-4678.346","3127.165","180",""
"D18","D_Small","TopLayer","DIODE_SOD123","-1862.205","1106.299","270","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"MH7","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","-4512.992","529.134","180",""
"MH5","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","-4408.661","1854.331","180",""
"BT2","Battery_Cell","BottomLayer","custombatteryconnector_small","-1073.819","864.174","270",""
"D1","D_Small","TopLayer","DIODE_SOD123","-2921.260","2629.921","90","Switching Diodes (Small Signal) SOD123 IR=5µA Io=150mA"
"MH2","MountingHole_3.2mm_M3","BottomLayer","MOUNTINGHOLE_3.2MM_M3","-3546.457","3127.165","180",""
"U1","ProMicro","TopLayer","PROMICRO","-1617.323","2533.071","0",""
"J2","Haptic Buzz","TopLayer","PIMORONI_HAPTIC_BUZZ_DRV2605L_DRIVER","-5696.062","3154.094","0",""
